datetime,open,max,min,close,volume,,,,,,,
 2015/06/04-15:00,4781.55,4947.87,4769.96,4947.1,22951761,4668.49,4520.87,           ,           ,           ,           ,           
 2015/06/05-10:30,5016.09,5051.19,4972.21,5019.07,48927302,4680.23,4525.94,           ,           ,           ,           ,           
 2015/06/05-11:30,5019.13,5050.57,4941.01,4941.01,26058318,4690.66,4530.39,           ,           ,           ,           ,           
 2015/06/05-14:00,4936.56,5002.23,4898.07,4998.69,20523069,4701.88,4535.09,           ,           ,           ,           ,           
 2015/06/05-15:00,4998.27,5029.53,4948.48,5023.1,27721373,4713.79,4540.17,           ,           ,           ,           ,           
 2015/06/08-10:30,5045.69,5074.2,4997.48,5074.2,51958597,4726.43,4545.73,           ,           ,           ,           ,           
 2015/06/08-11:30,5074.13,5077.34,5004.76,5068.47,23584230,4739.07,4551.83,           ,           ,           ,           ,           
 2015/06/08-14:00,5070.26,5108.86,5070.26,5094.35,25931172,4752.45,4558.05,           ,           ,           ,           ,           
 2015/06/08-15:00,5094.7,5146.81,5094.04,5131.88,29518449,4766.59,4564.2,           ,           ,           ,           ,           
 2015/06/09-10:30,5145.98,5145.98,5094.46,5128,45437529,4779.51,4569.53,           ,           ,           ,           ,           
 2015/06/09-11:30,5128.86,5147.41,5048.15,5068.57,24064680,4790.65,4574.47,           ,           ,           ,           ,           
 2015/06/09-14:00,5068.16,5116.67,5057.15,5080.12,19541274,4802.19,4579.36,           ,           ,           ,           ,           
 2015/06/09-15:00,5080.21,5130.16,5043.34,5113.53,26037373,4813.79,4584.24,           ,           ,           ,           ,           
 2015/06/10-10:30,5049.2,5090.49,5001.69,5089.73,34927230,4824.39,4589.12,           ,           ,           ,           ,           
 2015/06/10-11:30,5090.15,5120.2,5073.43,5090.71,17398929,4834.63,4593.94,           ,           ,           ,           ,           
 2015/06/10-14:00,5091.31,5145.72,5091.31,5139.81,20660842,4845.21,4599.33,           ,           ,           ,           ,           
 2015/06/10-15:00,5139.26,5163.82,5099.2,5106.04,27655817,4856.21,4604.58,           ,           ,           ,           ,           
 2015/06/11-10:30,5101.44,5119.87,5051.11,5105.14,36375624,4866.84,4610.26,           ,           ,           ,           ,           
 2015/06/11-11:30,5105.2,5122.15,5065.86,5096.37,19378031,4876.85,4615.56,           ,           ,           ,           ,           
 2015/06/11-14:00,5096.64,5114,5081.83,5081.83,18681691,4886.8,4620.62,           ,           ,           ,           ,           
 2015/06/11-15:00,5081.08,5122.27,5066.19,5121.59,23031709,4896.67,4625.99,           ,           ,           ,           ,           
 2015/06/12-10:30,5143.34,5167.53,5118.89,5128.61,37488966,4905.99,4631.37,           ,           ,           ,           ,           
